Date,SCHD,SPY,QQQ,TQQQ,TLT,SGOV,IAU
2002-07-22,1163.196980187591,1363.364826666179,2172.3786700776154,966276.7849793194,112.43442881722574,634.3294180687782,165.80775844887984
2002-07-23,1137.3885831390105,1326.045750399659,2079.541049501182,848324.7621434557,112.49780374787453,634.3726842305758,160.91724985645752
2002-07-24,1198.4053434967957,1405.161259081268,2192.802124768601,993608.160433046,112.30813687176557,634.4156957890197,160.37753927074186
2002-07-25,1225.1267596332145,1393.2188154020141,2065.6161469013136,831504.5157463063,112.49780374787453,634.4584526918202,159.6124985044157
2002-07-26,1231.5142440215486,1419.7569794069796,2104.6078766235723,879170.6370076532,112.30813687176557,634.5014700655131,156.72755117309265
2002-07-29,1281.655255902527,1488.9201946634776,2212.2975724541834,1020172.3254448216,111.56293907096804,634.5442327491329,156.3212411693472
2002-07-30,1290.2847372139086,1508.3257981804154,2256.859221498835,1082654.2770485715,111.56293907096804,634.5877711870415,157.94556824681422
2002-07-31,1310.2083478385578,1511.9741499539423,2214.1548379916353,1022727.3434508117,112.94507033994981,634.6313126122847,157.58481657013277
2002-08-01,1289.2617309747513,1472.499816527753,2110.1777959459655,886124.3639783044,113.58836008489158,634.6745993656207,157.94556824681422
2002-08-02,1268.1564548454016,1439.4938569661247,2065.6161469013136,831504.5157463048,114.75163939836077,634.7171160404008,159.29732743932516
2002-08-05,1245.560215289105,1389.4042964918076,1990.4179599996535,744488.9441358364,115.25791655020063,634.7583470920238,159.56747958852964
2002-08-06,1274.8516547800166,1436.1762009269037,2088.824665547384,859663.3630015176,114.27259740448197,634.7998385330066,158.5315354487303
2002-08-07,1292.1334380646942,1461.2212703180119,2116.6767652126305,894284.042401393,114.54634365625358,634.8415904139581,162.48991315960384
2002-08-08,1318.0984964009824,1508.4916761631443,2188.1604210393875,987351.9513693218,114.54634365625358,634.8817985722283,160.7373754986769
2002-08-09,1323.2230119188719,1514.130563729413,2165.8799093987222,957685.8957525801,116.16118434334017,634.9227825604625,162.44501060258946
2002-08-12,1324.5549165606958,1503.0181846563517,2172.3786700776154,966276.7849793194,116.8729245979465,634.9637691943653,162.35520009503273
2002-08-13,1301.9740199909056,1475.6510162763445,2098.109324532454,871103.5133572115,118.30976048777345,635.0060474461387,162.40010624794613
2002-08-14,1334.2812972246613,1529.555963122718,2231.79385449086,1047205.410321495,118.76142227778641,635.0472972666673,161.32186077460804
2002-08-15,1338.4799999366737,1550.7858389110688,2277.284136304237,1112122.9938641344,117.72135388171341,635.0888075950884,162.48991315960384
2002-08-16,1329.419690715011,1546.1414481639708,2293.066304441557,1135254.7473513798,116.40751691911416,635.1298049465267,162.1755574878433
2002-08-19,1343.7061147375498,1582.2991857820905,2348.767166367673,1219447.1481675738,116.7633479955968,635.1708049444968,158.71176990767822
2002-08-20,1329.835168894479,1565.546376988358,2338.5565862549347,1203713.4370147013,118.0634613841313,635.212839103015,159.92757946451673
2002-08-21,1344.79820165431,1588.1036621771393,2390.54479439611,1285246.7675875677,117.43390637063153,635.2538444611497,159.43241180092485
2002-08-22,1363.2267576061981,1603.5277121853412,2428.606848410773,1347210.9557304443,116.40751691911416,635.2951103785043,158.9820660392677
2002-08-23,1341.7535207243832,1569.0304893182083,2334.8426809433518,1198024.2302677382,117.55707265851854,635.3368948343406,158.9820660392677
2002-08-26,1354.867465932359,1579.9768940238912,2344.125254050685,1212277.4885276342,117.66653768709536,635.378682038412,160.197577316193
2002-08-27,1353.4413866692166,1561.732050847452,2262.4303923478697,1090640.143829915,116.92767384830083,635.4209879166273,161.50164066261314
2002-08-28,1338.8803151854481,1527.5659092532258,2179.8062721130073,976158.0682389336,117.51599119534252,635.4635545917694,160.15258225366503
2002-08-29,1328.4085643876917,1528.228264568339,2208.584292905921,1015076.7361003475,118.46034045165807,635.5058661211153,161.72632477587769
2002-08-30,1330.4114365264732,1522.2571391133617,2180.734070530638,977397.0584212937,119.1719914472461,635.5484384822249,161.50164066261314
2002-09-03,1291.7690385127514,1464.206302929926,2101.8226040807162,875707.0248558978,121.00398816849744,635.591271727035,161.99588605693737
2002-09-04,1303.9345942402294,1485.1050974453703,2110.1777959459655,886124.3639783044,120.97664143676347,635.6328176127422,162.66950542417786
2002-09-05,1297.8128606010607,1472.499816527753,2058.1893792170163,822624.8552613436,121.63629905418742,635.6741081480908,164.15004985541123
2002-09-06,1307.8565298401604,1492.7348099583335,2121.317008827429,900140.4759634937,120.20691629238918,635.7148852000671,164.91199936072746
